#Example Log
ID,Event_Type,Arrival_Time,Start_Time,End_Time,Metadata
1,Admission,2018-01-01 00:31:00,2018-01-01 00:31:00,2018-01-01 00:31:00,EM
2,Admission,2018-01-01 02:55:00,2018-01-01 02:55:00,2018-01-01 02:55:00,EM
1,ER_Treatment,2018-01-01 00:31:00,2018-01-01 00:31:00,2018-01-01 02:32:00,EM
2,ER_Treatment,2018-01-01 02:55:00,2018-01-01 02:55:00,2018-01-01 04:32:00,EM
1,Releasing,2018-01-01 02:32:00,2018-01-01 02:32:00,2018-01-01 02:32:00,EM
3,Admission,2018-01-01 03:01:00,2018-01-01 03:01:00,2018-01-01 03:01:00,EM
3,ER_Treatment,2018-01-01 03:01:00,2018-01-01 03:01:00,2018-01-01 04:37:00,EM
4,Admission,2018-01-01 05:40:00,2018-01-01 05:40:00,2018-01-01 05:40:00,EM
2,Releasing,2018-01-01 04:32:00,2018-01-01 04:32:00,2018-01-01 04:32:00,EM
3,Releasing,2018-01-01 04:37:00,2018-01-01 04:37:00,2018-01-01 04:37:00,EM
5,Admission,2018-01-01 04:04:00,2018-01-01 04:04:00,2018-01-01 04:04:00,EM
5,ER_Treatment,2018-01-01 04:04:00,2018-01-01 04:04:00,2018-01-01 05:58:00,EM
6,Admission,2018-01-01 06:23:00,2018-01-01 06:23:00,2018-01-01 06:23:00,EM
4,ER_Treatment,2018-01-01 05:40:00,2018-01-01 05:40:00,2018-01-01 07:45:00,EM
5,Releasing,2018-01-01 05:58:00,2018-01-01 05:58:00,2018-01-01 05:58:00,EM
6,ER_Treatment,2018-01-01 06:23:00,2018-01-01 06:23:00,2018-01-01 08:01:00,EM
7,Admission,2018-01-01 06:42:00,2018-01-01 06:42:00,2018-01-01 06:42:00,EM
7,ER_Treatment,2018-01-01 06:42:00,2018-01-01 06:42:00,2018-01-01 08:10:00,EM
8,Admission,2018-01-01 08:02:00,2018-01-01 08:02:00,2018-01-01 08:02:00,A1
4,Releasing,2018-01-01 07:45:00,2018-01-01 07:45:00,2018-01-01 07:45:00,EM
6,Releasing,2018-01-01 08:01:00,2018-01-01 08:01:00,2018-01-01 08:01:00,EM
8,Intake,2018-01-01 08:02:00,2018-01-01 08:02:00,2018-01-01 09:04:00,A1
9,Admission,2018-01-01 08:03:00,2018-01-01 08:03:00,2018-01-01 08:03:00,A2
9,Intake,2018-01-01 08:03:00,2018-01-01 08:03:00,2018-01-01 08:55:00,A2
10,Admission,2018-01-01 08:03:00,2018-01-01 08:03:00,2018-01-01 08:03:00,B2
10,Intake,2018-01-01 08:03:00,2018-01-01 08:03:00,2018-01-01 09:07:00,B2
11,Admission,2018-01-01 08:11:00,2018-01-01 08:11:00,2018-01-01 08:11:00,EM
7,Releasing,2018-01-01 08:10:00,2018-01-01 08:10:00,2018-01-01 08:10:00,EM
12,Admission,2018-01-01 08:27:00,2018-01-01 08:27:00,2018-01-01 08:27:00,A1
11,ER_Treatment,2018-01-01 08:11:00,2018-01-01 08:11:00,2018-01-01 09:31:00,EM
12,Intake,2018-01-01 08:27:00,2018-01-01 08:27:00,2018-01-01 09:20:00,A1
13,Admission,2018-01-01 08:50:00,2018-01-01 08:50:00,2018-01-01 08:50:00,A1
14,Admission,2018-01-01 08:52:00,2018-01-01 08:52:00,2018-01-01 08:52:00,B2
15,Admission,2018-01-01 09:08:00,2018-01-01 09:08:00,2018-01-01 09:08:00,B1
13,Releasing,2018-01-01 08:50:00,2018-01-01 08:50:00,2018-01-01 08:50:00,A1
16,Admission,2018-01-01 09:50:00,2018-01-01 09:50:00,2018-01-01 09:50:00,A1
17,Admission,2018-01-01 09:54:00,2018-01-01 09:54:00,2018-01-01 09:54:00,B1
11,Releasing,2018-01-01 09:31:00,2018-01-01 09:31:00,2018-01-01 09:31:00,EM
14,Releasing,2018-01-01 08:52:00,2018-01-01 08:52:00,2018-01-01 08:52:00,B2
9,Surgery,2018-01-01 08:55:00,2018-01-01 08:55:00,2018-01-01 09:38:00,A2
8,Nursing_A,2018-01-01 09:04:00,2018-01-01 09:04:00,2018-01-01 12:34:00,A1
10,Nursing_B,2018-01-01 09:07:00,2018-01-01 09:07:00,2018-01-02 03:23:00,B2
15,Intake,2018-01-01 09:08:00,2018-01-01 09:08:00,2018-01-01 10:08:00,B1
12,Nursing_A,2018-01-01 09:20:00,2018-01-01 09:20:00,2018-01-01 13:24:00,A1
16,Intake,2018-01-01 09:50:00,2018-01-01 09:50:00,2018-01-01 10:57:00,A1
17,Intake,2018-01-01 09:54:00,2018-01-01 09:54:00,2018-01-01 10:55:00,B1
18,Admission,2018-01-01 10:11:00,2018-01-01 10:11:00,2018-01-01 10:11:00,B2
9,Nursing_A,2018-01-01 09:38:00,2018-01-01 09:38:00,2018-01-01 16:46:00,A2
19,Admission,2018-01-01 10:22:00,2018-01-01 10:22:00,2018-01-01 10:22:00,A2
15,Nursing_B,2018-01-01 10:08:00,2018-01-01 10:08:00,2018-01-01 17:45:00,B1
18,Intake,2018-01-01 10:11:00,2018-01-01 10:11:00,2018-01-01 11:16:00,B2
19,Intake,2018-01-01 10:22:00,2018-01-01 10:22:00,2018-01-01 11:16:00,A2
20,Admission,2018-01-01 10:34:00,2018-01-01 10:34:00,2018-01-01 10:34:00,A1
21,Admission,2018-01-01 11:00:00,2018-01-01 11:00:00,2018-01-01 11:00:00,B4
20,Releasing,2018-01-01 10:34:00,2018-01-01 10:34:00,2018-01-01 10:34:00,A1
17,Nursing_B,2018-01-01 10:55:00,2018-01-01 10:55:00,2018-01-01 21:41:00,B1
16,Nursing_A,2018-01-01 10:57:00,2018-01-01 10:57:00,2018-01-01 14:47:00,A1
21,Intake,2018-01-01 11:00:00,2018-01-01 11:00:00,2018-01-01 11:53:00,B4
22,Admission,2018-01-01 11:10:00,2018-01-01 11:10:00,2018-01-01 11:10:00,B4
22,Intake,2018-01-01 11:10:00,2018-01-01 11:10:00,2018-01-01 12:17:00,B4
23,Admission,2018-01-01 11:25:00,2018-01-01 11:25:00,2018-01-01 11:25:00,A2
18,Nursing_B,2018-01-01 11:16:00,2018-01-01 11:16:00,2018-01-02 01:56:00,B2
19,Surgery,2018-01-01 11:16:00,2018-01-01 11:16:00,2018-01-01 12:15:00,A2
23,Intake,2018-01-01 11:25:00,2018-01-01 11:25:00,2018-01-01 12:25:00,A2
24,Admission,2018-01-01 11:32:00,2018-01-01 11:32:00,2018-01-01 11:32:00,B1
24,Intake,2018-01-01 11:32:00,2018-01-01 11:32:00,2018-01-01 12:31:00,B1
25,Admission,2018-01-01 11:38:00,2018-01-01 11:38:00,2018-01-01 11:38:00,B4
26,Admission,2018-01-01 11:47:00,2018-01-01 11:47:00,2018-01-01 11:47:00,EM
25,Releasing,2018-01-01 11:38:00,2018-01-01 11:38:00,2018-01-01 11:38:00,B4
26,ER_Treatment,2018-01-01 11:47:00,2018-01-01 11:47:00,2018-01-01 12:58:00,EM
27,Admission,2018-01-01 12:02:00,2018-01-01 12:02:00,2018-01-01 12:02:00,A1
27,Intake,2018-01-01 12:02:00,2018-01-01 12:02:00,2018-01-01 12:58:00,A1
21,Surgery,2018-01-01 11:53:00,2018-01-01 11:53:00,2018-01-01 15:18:00,B4
28,Admission,2018-01-01 12:02:00,2018-01-01 12:02:00,2018-01-01 12:02:00,EM
28,ER_Treatment,2018-01-01 12:02:00,2018-01-01 12:02:00,2018-01-01 13:20:00,EM
29,Admission,2018-01-01 12:33:00,2018-01-01 12:33:00,2018-01-01 12:33:00,A1
19,Nursing_A,2018-01-01 12:15:00,2018-01-01 12:15:00,2018-01-01 17:44:00,A2
22,Surgery,2018-01-01 12:17:00,2018-01-01 12:17:00,2018-01-01 15:50:00,B4
23,Surgery,2018-01-01 12:25:00,2018-01-01 12:25:00,2018-01-01 13:26:00,A2
24,Nursing_B,2018-01-01 12:31:00,2018-01-01 12:31:00,2018-01-01 17:41:00,B1
29,Intake,2018-01-01 12:33:00,2018-01-01 12:33:00,2018-01-01 13:32:00,A1
30,Admission,2018-01-01 12:33:00,2018-01-01 12:33:00,2018-01-01 12:33:00,B1
30,Intake,2018-01-01 12:33:00,2018-01-01 12:33:00,2018-01-01 13:35:00,B1
31,Admission,2018-01-01 12:55:00,2018-01-01 12:55:00,2018-01-01 12:55:00,EM
31,ER_Treatment,2018-01-01 12:55:00,2018-01-01 12:55:00,2018-01-01 14:40:00,EM
8,Releasing,2018-01-01 12:34:00,2018-01-01 12:34:00,2018-01-01 12:34:00,A1
32,Admission,2018-01-01 12:56:00,2018-01-01 12:56:00,2018-01-01 12:56:00,EM
32,ER_Treatment,2018-01-01 12:56:00,2018-01-01 12:56:00,2018-01-01 14:52:00,EM
33,Admission,2018-01-01 13:24:00,2018-01-01 13:24:00,2018-01-01 13:24:00,A2
26,Releasing,2018-01-01 12:58:00,2018-01-01 12:58:00,2018-01-01 12:58:00,EM
27,Nursing_A,2018-01-01 12:58:00,2018-01-01 12:58:00,2018-01-01 17:17:00,A1
28,Releasing,2018-01-01 13:20:00,2018-01-01 13:20:00,2018-01-01 13:20:00,EM
12,Releasing,2018-01-01 13:24:00,2018-01-01 13:24:00,2018-01-01 13:24:00,A1
33,Intake,2018-01-01 13:24:00,2018-01-01 13:24:00,2018-01-01 14:21:00,A2
34,Admission,2018-01-01 13:31:00,2018-01-01 13:31:00,2018-01-01 13:31:00,B3
23,Nursing_A,2018-01-01 13:26:00,2018-01-01 13:26:00,2018-01-01 20:50:00,A2
34,Intake,2018-01-01 13:31:00,2018-01-01 13:31:00,2018-01-01 14:26:00,B3
35,Admission,2018-01-01 13:37:00,2018-01-01 13:37:00,2018-01-01 13:37:00,B1
35,Intake,2018-01-01 13:37:00,2018-01-01 13:37:00,2018-01-01 14:19:00,B1
29,Nursing_A,2018-01-01 13:32:00,2018-01-01 13:32:00,2018-01-01 18:01:00,A1
30,Nursing_B,2018-01-01 13:35:00,2018-01-01 13:35:00,2018-01-01 22:22:00,B1
36,Admission,2018-01-01 13:51:00,2018-01-01 13:51:00,2018-01-01 13:51:00,B2
37,Admission,2018-01-01 13:49:00,2018-01-01 13:49:00,2018-01-01 13:49:00,EM
37,ER_Treatment,2018-01-01 13:49:00,2018-01-01 13:49:00,2018-01-01 15:53:00,EM
38,Admission,2018-01-01 13:51:00,2018-01-01 13:51:00,2018-01-01 13:51:00,B4
36,Intake,2018-01-01 13:51:00,2018-01-01 13:51:00,2018-01-01 15:02:00,B2
39,Admission,2018-01-01 13:54:00,2018-01-01 13:54:00,2018-01-01 13:54:00,B4
38,Releasing,2018-01-01 13:51:00,2018-01-01 13:51:00,2018-01-01 13:51:00,B4
40,Admission,2018-01-01 14:16:00,2018-01-01 14:16:00,2018-01-01 14:16:00,A1
41,Admission,2018-01-01 14:05:00,2018-01-01 14:05:00,2018-01-01 14:05:00,A1
39,Releasing,2018-01-01 13:54:00,2018-01-01 13:54:00,2018-01-01 13:54:00,B4
42,Admission,2018-01-01 14:21:00,2018-01-01 14:21:00,2018-01-01 14:21:00,A3
43,Admission,2018-01-01 14:45:00,2018-01-01 14:45:00,2018-01-01 14:45:00,B1
40,Releasing,2018-01-01 14:16:00,2018-01-01 14:16:00,2018-01-01 14:16:00,A1
44,Admission,2018-01-01 14:50:00,2018-01-01 14:50:00,2018-01-01 14:50:00,B2
45,Admission,2018-01-01 14:52:00,2018-01-01 14:52:00,2018-01-01 14:52:00,B2
16,Releasing,2018-01-01 14:47:00,2018-01-01 14:47:00,2018-01-01 14:47:00,A1
32,Releasing,2018-01-01 14:52:00,2018-01-01 14:52:00,2018-01-01 14:52:00,EM
41,Releasing,2018-01-01 14:05:00,2018-01-01 14:05:00,2018-01-01 14:05:00,A1
42,Intake,2018-01-01 14:21:00,2018-01-01 14:21:00,2018-01-01 14:59:00,A3
43,Intake,2018-01-01 14:45:00,2018-01-01 14:45:00,2018-01-01 15:37:00,B1
35,Nursing_B,2018-01-01 14:19:00,2018-01-01 14:19:00,2018-01-01 21:59:00,B1
33,Surgery,2018-01-01 14:21:00,2018-01-01 14:21:00,2018-01-01 15:54:00,A2
34,Surgery,2018-01-01 14:26:00,2018-01-01 14:26:00,2018-01-01 18:18:00,B3
31,Surgery,2018-01-01 14:40:00,2018-01-01 14:40:00,2018-01-01 15:12:00,EM-A2
44,Intake,2018-01-01 14:50:00,2018-01-01 14:50:00,2018-01-01 15:47:00,B2
46,Admission,2018-01-01 14:52:00,2018-01-01 14:52:00,2018-01-01 14:52:00,B4
46,Releasing,2018-01-01 14:52:00,2018-01-01 14:52:00,2018-01-01 14:52:00,B4
47,Admission,2018-01-01 14:56:00,2018-01-01 14:56:00,2018-01-01 14:56:00,EM
48,Admission,2018-01-01 15:10:00,2018-01-01 15:10:00,2018-01-01 15:10:00,A2
45,Intake,2018-01-01 14:52:00,2018-01-01 15:00:00,2018-01-01 16:03:00,B2
47,ER_Treatment,2018-01-01 14:56:00,2018-01-01 14:56:00,2018-01-01 17:25:00,EM
48,Intake,2018-01-01 15:10:00,2018-01-01 15:10:00,2018-01-01 16:05:00,A2
49,Admission,2018-01-01 15:22:00,2018-01-01 15:22:00,2018-01-01 15:22:00,B1
42,Surgery,2018-01-01 14:59:00,2018-01-01 15:13:00,2018-01-01 16:34:00,A3
36,Nursing_B,2018-01-01 15:02:00,2018-01-01 15:02:00,2018-01-02 06:06:00,B2
31,Nursing_A,2018-01-01 15:12:00,2018-01-01 15:12:00,2018-01-01 21:56:00,EM-A2
21,Nursing_B,2018-01-01 15:18:00,2018-01-01 15:18:00,2018-01-02 01:19:00,B4
50,Admission,2018-01-01 15:37:00,2018-01-01 15:37:00,2018-01-01 15:37:00,A1
51,Admission,2018-01-01 15:52:00,2018-01-01 15:52:00,2018-01-01 15:52:00,A4
49,Releasing,2018-01-01 15:22:00,2018-01-01 15:22:00,2018-01-01 15:22:00,B1
43,Nursing_B,2018-01-01 15:37:00,2018-01-01 15:37:00,2018-01-01 23:16:00,B1
50,Intake,2018-01-01 15:37:00,2018-01-01 15:38:00,2018-01-01 16:40:00,A1
51,Intake,2018-01-01 15:52:00,2018-01-01 15:52:00,2018-01-01 16:50:00,A4
44,Nursing_B,2018-01-01 15:47:00,2018-01-01 15:47:00,2018-01-02 04:20:00,B2
22,Nursing_B,2018-01-01 15:50:00,2018-01-01 15:50:00,2018-01-02 13:26:00,B4
52,Admission,2018-01-01 16:00:00,2018-01-01 16:00:00,2018-01-01 16:00:00,B4
37,Releasing,2018-01-01 15:53:00,2018-01-01 15:53:00,2018-01-01 15:53:00,EM
33,Nursing_A,2018-01-01 15:54:00,2018-01-01 15:54:00,2018-01-02 00:25:00,A2
53,Admission,2018-01-01 16:10:00,2018-01-01 16:10:00,2018-01-01 16:10:00,A1
52,Releasing,2018-01-01 16:00:00,2018-01-01 16:00:00,2018-01-01 16:00:00,B4
54,Admission,2018-01-01 16:27:00,2018-01-01 16:27:00,2018-01-01 16:27:00,A3
53,Intake,2018-01-01 16:10:00,2018-01-01 16:10:00,2018-01-01 17:14:00,A1
45,Nursing_B,2018-01-01 16:03:00,2018-01-01 16:03:00,2018-01-02 06:37:00,B2
48,Surgery,2018-01-01 16:05:00,2018-01-01 16:05:00,2018-01-01 17:12:00,A2
54,Intake,2018-01-01 16:27:00,2018-01-01 16:27:00,2018-01-01 17:25:00,A3
55,Admission,2018-01-01 16:40:00,2018-01-01 16:40:00,2018-01-01 16:40:00,B4
42,Nursing_A,2018-01-01 16:34:00,2018-01-01 16:34:00,2018-01-02 10:44:00,A3
50,Nursing_A,2018-01-01 16:40:00,2018-01-01 16:40:00,2018-01-01 20:12:00,A1
56,Admission,2018-01-01 16:45:00,2018-01-01 16:45:00,2018-01-01 16:45:00,A3
55,Intake,2018-01-01 16:40:00,2018-01-01 16:41:00,2018-01-01 17:52:00,B4
56,Releasing,2018-01-01 16:45:00,2018-01-01 16:45:00,2018-01-01 16:45:00,A3
57,Admission,2018-01-01 16:55:00,2018-01-01 16:55:00,2018-01-01 16:55:00,B2
9,Releasing,2018-01-01 16:46:00,2018-01-01 16:46:00,2018-01-01 16:46:00,A2
51,Surgery,2018-01-01 16:50:00,2018-01-01 16:50:00,2018-01-01 21:20:00,A4
57,Intake,2018-01-01 16:55:00,2018-01-01 16:55:00,2018-01-01 17:53:00,B2
